,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
20,Augsburg,0.8208979368209839,0.7578030824661255,0.022576864808797836,2.971672534942627,0.0099609000608325,0.33902007,0.9845368447540416,19368.439453125,0.33902004,0.9845368454721004
21,Strasbourg,0.717336893081665,0.7309486865997314,0.03291739895939827,2.9780173301696777,0.027757985517382622,0.54719156,0.9771504620294629,53973.9375,0.5471915,0.977150461124135
22,Hamburg,0.7252196669578552,0.6089988946914673,0.028204193338751793,2.9757001399993896,0.03230903670191765,0.616379,0.9844547355235845,62823.2109375,0.616379,0.984454736428479
23,Madrid,0.7058619856834412,0.8273959755897522,0.025059137493371964,2.973970890045166,0.019805336371064186,0.6536703,0.948578105497167,38510.43359375,0.6536703,0.948578107692599
24,Stuttgart,0.650901198387146,0.8363026976585388,0.031001484021544456,2.977851390838623,0.012568525969982147,0.43367916,0.975058752804486,24438.83203125,0.43367913,0.9750587518590714
25,Bremen,0.8034160733222961,0.8374024629592896,0.025731412693858147,2.981163263320923,0.0035251909866929054,0.19067249,0.9889048493270963,6854.546875,0.19067249,0.9889048501396298
26,Speyer,0.8702354431152344,0.8292080163955688,0.0317828506231308,2.9773101806640625,0.005724393296986818,0.24119152,0.9892720606892249,11130.7802734375,0.24119152,0.9892720604767344
27,Graz,0.6902276873588562,0.8696435689926147,0.026408832520246506,2.976379632949829,0.004094923846423626,0.22997446,0.9957972262614511,7962.36279296875,0.22997446,0.9957972255669039
28,Kassel,0.7339656352996826,0.8378168940544128,0.026423562318086624,2.9774010181427,0.014331902377307415,0.45105475,0.968592242219775,27867.626953125,0.4510547,0.9685922410369556
29,Toulouse,0.8004573583602905,0.818268895149231,0.023934217169880867,2.9731383323669434,0.03157537803053856,0.700404,0.9306122476887319,61396.65234375,0.700404,0.9306122468773569
30,Bremen,0.7437870502471924,0.7733750939369202,0.024205582216382027,2.9731781482696533,0.011179494671523571,0.33955318,0.9927934683708632,21737.935546875,0.33955318,0.992793468351526
31,Losangeles,0.6829782724380493,0.8657397627830505,0.025072505697607994,2.9679160118103027,0.017674215137958527,0.6038993,0.9284284380648388,34366.578125,0.60389924,0.9284284400785573
32,Strasbourg,0.7083666920661926,0.6986037492752075,0.025679612532258034,2.974426507949829,0.02693583443760872,0.5390271,0.9813857633760857,52375.30078125,0.5390271,0.9813857630063639
33,Hamburg,0.7395064830780029,0.6633713245391846,0.02841801755130291,2.976372718811035,0.02189490757882595,0.50740814,0.9838019398274905,42573.4921875,0.50740814,0.9838019404900105
34,Toulouse,0.7766286730766296,0.8388795256614685,0.02841324917972088,2.977567672729492,0.014434512704610825,0.47356042,0.9779809195742561,28067.146484375,0.47356042,0.977980917761154
35,Losangeles,0.6675819754600525,0.8603731989860535,0.024981003254652023,2.978585720062256,0.021585311740636826,0.66738063,0.9321895641150965,41971.5,0.66738063,0.9321895652618901
36,Graz,0.6742265224456787,0.8583984375,0.02401353232562542,2.977534532546997,0.007039868738502264,0.30153587,0.9915618951422793,13688.6533203125,0.30153587,0.9915618949778497
37,Madrid,0.7603638768196106,0.8393793106079102,0.021150171756744385,2.9730331897735596,0.015864335000514984,0.58503056,0.9637220068312987,30847.359375,0.58503056,0.9637220052409904
