city,test_mse_mean,test_mse_median,test_mse_max,test_mse_min,test_mse_std,rrse_mean,rrse_median,rrse_max,rrse_min,rrse_std,correlation_mean,correlation_median,correlation_max,correlation_min,correlation_std,test_mse_denorm_mean,test_mse_denorm_median,test_mse_denorm_max,test_mse_denorm_min,test_mse_denorm_std,rrse_denorm_mean,rrse_denorm_median,rrse_denorm_max,rrse_denorm_min,rrse_denorm_std,correlation_denorm_mean,correlation_denorm_median,correlation_denorm_max,correlation_denorm_min,correlation_denorm_std
Madrid,0.03616001326590772,0.0377747192978858,0.0509217679500579,0.0137599753215909,0.013750222836335164,0.86662796,0.9027515,1.0481402,0.5448494,0.19065788680128862,0.8790891609390512,0.9026240266341616,0.9864665241039609,0.6905875357698613,0.11987239510774073,70311.234375,73450.9375,99014.6875,26755.546875,26736.581287532907,0.866627948,0.9027515,1.0481402,0.5448494,0.19065788530550346,0.8790891591919046,0.9026240220601116,0.9864665243263946,0.6905875376080504,0.11987239412202157
Marseille,0.04901264002546661,0.0479059945791959,0.0679046511650085,0.0324480682611465,0.010520598757679273,0.7851783775,0.77980145,0.9289069,0.64212096,0.08486091538945034,0.9731866461080879,0.974271356118494,0.9812402869212696,0.960887471042164,0.007344637499867178,95302.482421875,93150.671875,132036.984375,63093.546875,20456.742710446517,0.7851783825,0.77980145,0.9289069,0.64212096,0.08486091834309677,0.9731866463043877,0.9742713546413158,0.981240285742665,0.9608874728489508,0.007344636289317898
Santander,0.0203393506817519,0.0188404810614883,0.0349161699414253,0.0091182114556431,0.011219525511422345,0.4528582683333333,0.447467015,0.6140011,0.31376943,0.13203499518004633,0.9760352704575191,0.9783638344338522,0.9908180245157706,0.9610704472941016,0.011869630437946043,39548.791341145836,36634.3203125,67892.6484375,17729.87890625,21815.77421426849,0.45285824999999996,0.447466975,0.6140011,0.31376943,0.13203500041649924,0.9760352702345124,0.9783638343455149,0.9908180244885576,0.9610704469013592,0.011869630270721306
Speyer,0.020250616196010755,0.023769436404109,0.033521719276905,0.009293052367866,0.009326752724175453,0.44250705142857144,0.49148098,0.58366066,0.30730984,0.10791268688129593,0.9865185875068521,0.991113772612107,0.992464863143773,0.9729353995590482,0.008445626014401143,39376.25083705357,46218.41015625,65181.20703125,18069.849609375,18135.37694678802,0.44250705,0.49148098,0.58366066,0.30730984,0.10791267887744935,0.9865185869294939,0.9911137717432162,0.9924648625636522,0.972935399064666,0.008445626103061786
Strasbourg,0.05371099431067702,0.051272829994559246,0.0788322165608406,0.0374248437583446,0.01620293344035804,0.7534098916666667,0.7436361300000001,0.92214084,0.6353681,0.11317340172342945,0.9722887786543181,0.9783836357926814,0.9863383638765728,0.9406096308661578,0.014775154974235023,104438.18815104167,99697.30859375,153285.078125,72770.625,31505.748504661024,0.7534098591666667,0.7436361,0.92214084,0.63536805,0.11317340498626696,0.9722887784036572,0.9783836362103936,0.9863383635330522,0.9406096314663576,0.014775155019421145
Stuttgart,0.018739006249234025,0.020123885944485602,0.0245382990688085,0.0101699540391564,0.006926261700494443,0.5219821625,0.545926625,0.6059665,0.3901089,0.10294578417861007,0.9568456868874344,0.958949021140092,0.9779241493652296,0.931560555904324,0.022541613580660185,36437.00634765625,39129.83203125,47713.42578125,19774.935546875,13467.751962180198,0.52198217,0.54592664,0.6059665,0.3901089,0.10294578109483132,0.9568456866011554,0.9589490216776602,0.977924149549008,0.9315605535002932,0.02254161478599782
Taipeh,0.012159684872520771,0.0071559105999767,0.0303588062524795,0.0049111973494291,0.009383797851148196,0.3355687271428572,0.27208406,0.5604192,0.2254054,0.12404360353887617,0.9916593425851408,0.99293518193714,0.9938551624352236,0.9854646430381984,0.002921287757970164,23643.86453683036,13914.2890625,59031.09765625,9549.5625,18246.30065151876,0.33556871857142856,0.27208406,0.5604192,0.2254054,0.12404360969505207,0.9916593425156865,0.9929351819539384,0.9938551621419488,0.985464643269912,0.0029212876591735875
Toronto,0.038432162487879354,0.037516165524721104,0.0527202412486076,0.0168425310403108,0.010754143547007385,0.697246055,0.696029425,0.8251595,0.4663939,0.10798866714192773,0.936153247079979,0.9449454059173688,0.9689369670272352,0.8986623119732668,0.02376369786696029,74729.30590820312,72948.203125,102511.7265625,32749.408203125,20910.864860425652,0.6972460175,0.6960294,0.82515943,0.4663939,0.10798864035472766,0.9361532478578571,0.944945408344894,0.968936967320524,0.8986623148778975,0.023763698145285117
Toulouse,0.02937633554554643,0.0296010598540306,0.0347685255110263,0.0150005863979458,0.006072559006010785,0.6716188200000001,0.6781534,0.73496634,0.48275688,0.07742711075487062,0.9643146561017749,0.9637376533974594,0.979732691673706,0.9444446607301769,0.011647130257660405,57120.73068576389,57557.6953125,67605.5546875,29167.845703125,11807.77060489216,0.6716188288888889,0.67815346,0.73496634,0.48275685,0.07742711865506673,0.9643146551056425,0.9637376499552324,0.979732690623534,0.9444446611880152,0.011647129468104969
Zurich,0.016869641271316287,0.0140428747981786,0.0342817604541778,0.0076701897196471,0.009393459647492757,0.41314662555555554,0.38966343,0.608826,0.28798154,0.11478503723762848,0.9895522486156941,0.9894983462122804,0.9944513769908584,0.9796558532845514,0.004994047615452935,32802.123914930555,27305.626953125,66659.0703125,14914.27734375,18265.08545465511,0.4131466188888889,0.3896634,0.608826,0.28798154,0.11478502981484481,0.9895522488795296,0.989498347149548,0.994451376798708,0.9796558541535128,0.004994047439302342
